moduleID,module_current,time(s)
cpu0,0,1e-08
mem0,0,1e-08
mem1,0,1e-08
cpu0,2.22222e+08,2e-08
mem0,4.44444e+06,2e-08
mem1,5.55556e+06,2e-08
cpu0,2.22222e+08,3e-08
mem0,4.44444e+06,3e-08
mem1,5.55556e+06,3e-08
cpu0,2.22222e+08,4e-08
mem0,4.44444e+06,4e-08
mem1,5.55556e+06,4e-08
cpu0,2.22222e+08,5e-08
mem0,4.44444e+06,5e-08
mem1,5.55556e+06,5e-08
cpu0,2.22222e+08,6e-08
mem0,4.44444e+06,6e-08
mem1,5.55556e+06,6e-08
cpu0,3.33333e+08,7e-08
mem0,4.44444e+06,7e-08
mem1,1e+07,7e-08
cpu0,2.22222e+08,8e-08
mem0,4.44444e+06,8e-08
mem1,5.55556e+06,8e-08
cpu0,2.22222e+08,9e-08
mem0,4.44444e+06,9e-08
mem1,5.55556e+06,9e-08
cpu0,2.22222e+08,1e-07
mem0,4.44444e+06,1e-07
mem1,5.55556e+06,1e-07
cpu0,2.22222e+08,1.1e-07
mem0,4.44444e+06,1.1e-07
mem1,5.55556e+06,1.1e-07
cpu0,3.33333e+08,1.2e-07
mem0,6.66667e+06,1.2e-07
mem1,5.55556e+06,1.2e-07
cpu0,2.22222e+08,1.3e-07
mem0,4.44444e+06,1.3e-07
mem1,5.55556e+06,1.3e-07
cpu0,2.22222e+08,1.4e-07
mem0,4.44444e+06,1.4e-07
mem1,5.55556e+06,1.4e-07
cpu0,2.22222e+08,1.5e-07
mem0,4.44444e+06,1.5e-07
mem1,5.55556e+06,1.5e-07
cpu0,2.22222e+08,1.6e-07
mem0,4.44444e+06,1.6e-07
mem1,5.55556e+06,1.6e-07
cpu0,1.22222e+08,1.7e-07
mem0,4.44444e+06,1.7e-07
mem1,1e+07,1.7e-07
cpu0,1.11111e+07,1.8e-07
mem0,4.44444e+06,1.8e-07
mem1,5.55556e+06,1.8e-07
cpu0,1.11111e+07,1.9e-07
mem0,4.44444e+06,1.9e-07
mem1,5.55556e+06,1.9e-07
cpu0,1.11111e+07,2e-07
mem0,4.44444e+06,2e-07
