loadEvent,storeEvent,time(s)
0,6.66667e-07,6.66667e-07,1e-06
0,6.66667e-07,6.66667e-07,4e-06
0,6.66667e-07,6.66667e-07,7e-06
5e-07,6.66667e-07,1.16667e-06,1e-05
5e-07,6.66667e-07,1.16667e-06,1.3e-05
5e-07,0,5e-07,1.6e-05
5e-07,0,5e-07,1.9e-05
5e-07,0,5e-07,2.2e-05
5e-07,0,5e-07,2.5e-05
5e-07,6.66667e-07,1.16667e-06,2.8e-05
1e-06,0,1e-06,3.1e-05
0,6.66667e-07,6.66667e-07,3.4e-05
0,6.66667e-07,6.66667e-07,3.7e-05
0,6.66667e-07,6.66667e-07,4e-05
0,6.66667e-07,6.66667e-07,4.3e-05
1e-06,0,1e-06,4.6e-05
5e-07,6.66667e-07,1.16667e-06,4.9e-05
0,6.66667e-07,6.66667e-07,5.2e-05
5e-07,0,5e-07,5.5e-05
5e-07,0,5e-07,5.8e-05
5e-07,0,5e-07,6.1e-05
0,1.33333e-06,1.33333e-06,6.4e-05
5e-07,6.66667e-07,1.16667e-06,6.7e-05
5e-07,0,5e-07,7e-05
0,6.66667e-07,6.66667e-07,7.3e-05
5e-07,0,5e-07,7.6e-05
5e-07,0,5e-07,7.9e-05
5e-07,6.66667e-07,1.16667e-06,8.2e-05
5e-07,6.66667e-07,1.16667e-06,8.5e-05
0,6.66667e-07,6.66667e-07,8.8e-05
0,6.66667e-07,6.66667e-07,9.1e-05
0,6.66667e-07,6.66667e-07,9.4e-05
5e-07,0,5e-07,9.7e-05
0,1.33333e-06,1.33333e-06,0.0001
0,1.33333e-06,1.33333e-06,0.000103
5e-07,0,5e-07,0.000106
5e-07,0,5e-07,0.000109
5e-07,0,5e-07,0.000112
5e-07,0,5e-07,0.000115
5e-07,6.66667e-07,1.16667e-06,0.000118
5e-07,6.66667e-07,1.16667e-06,0.000121
0,6.66667e-07,6.66667e-07,0.000124
5e-07,0,5e-07,0.000127
5e-07,0,5e-07,0.00013
5e-07,0,5e-07,0.000133
0,1.33333e-06,1.33333e-06,0.000136
5e-07,6.66667e-07,1.16667e-06,0.000139
0,6.66667e-07,6.66667e-07,0.000142
5e-07,0,5e-07,0.000145
0,6.66667e-07,6.66667e-07,0.000148
5e-07,0,5e-07,0.000151
5e-07,6.66667e-07,1.16667e-06,0.000154
5e-07,6.66667e-07,1.16667e-06,0.000157
0,6.66667e-07,6.66667e-07,0.00016
0,6.66667e-07,6.66667e-07,0.000163
5e-07,0,5e-07,0.000166
0,6.66667e-07,6.66667e-07,0.000169
5e-07,6.66667e-07,1.16667e-06,0.000172
5e-07,6.66667e-07,1.16667e-06,0.000175
0,6.66667e-07,6.66667e-07,0.000178
5e-07,0,5e-07,0.000181
0,6.66667e-07,6.66667e-07,0.000184
5e-07,0,5e-07,0.000187
1e-06,0,1e-06,0.00019
5e-07,0,5e-07,0.000193
1e-06,0,1e-06,0.000196
5e-07,0,5e-07,0.000199
5e-07,0,5e-07,0.000202
5e-07,0,5e-07,0.000205
5e-07,6.66667e-07,1.16667e-06,0.000208
5e-07,0,5e-07,0.000211
5e-07,6.66667e-07,1.16667e-06,0.000214
5e-07,0,5e-07,0.000217
0,6.66667e-07,6.66667e-07,0.00022
5e-07,0,5e-07,0.000223
5e-07,6.66667e-07,1.16667e-06,0.000226
5e-07,0,5e-07,0.000229
5e-07,6.66667e-07,1.16667e-06,0.000232
5e-07,0,5e-07,0.000235
5e-07,0,5e-07,0.000238
5e-07,0,5e-07,0.000241
5e-07,6.66667e-07,1.16667e-06,0.000244
0,6.66667e-07,6.66667e-07,0.000247
0,1.33333e-06,1.33333e-06,0.00025
5e-07,0,5e-07,0.000253
0,6.66667e-07,6.66667e-07,0.000256
0,6.66667e-07,6.66667e-07,0.000259
0,1.33333e-06,1.33333e-06,0.000262
5e-07,0,5e-07,0.000265
0,1.33333e-06,1.33333e-06,0.000268
5e-07,0,5e-07,0.000271
0,6.66667e-07,6.66667e-07,0.000274
0,6.66667e-07,6.66667e-07,0.000277
5e-07,6.66667e-07,1.16667e-06,0.00028
0,6.66667e-07,6.66667e-07,0.000283
5e-07,6.66667e-07,1.16667e-06,0.000286
5e-07,0,5e-07,0.000289
0,6.66667e-07,6.66667e-07,0.000292
0,6.66667e-07,6.66667e-07,0.000295
5e-07,6.66667e-07,1.16667e-06,0.000298
0,6.66667e-07,6.66667e-07,0.000301
5e-07,6.66667e-07,1.16667e-06,0.000304
0,6.66667e-07,6.66667e-07,0.000307
5e-07,0,5e-07,0.00031
5e-07,0,5e-07,0.000313
0,1.33333e-06,1.33333e-06,0.000316
0,6.66667e-07,6.66667e-07,0.000319
0,1.33333e-06,1.33333e-06,0.000322
0,6.66667e-07,6.66667e-07,0.000325
5e-07,6.66667e-07,1.16667e-06,0.000328
0,6.66667e-07,6.66667e-07,0.000331
0,1.33333e-06,1.33333e-06,0.000334
5e-07,0,5e-07,0.000337
5e-07,6.66667e-07,1.16667e-06,0.00034
5e-07,0,5e-07,0.000343
5e-07,6.66667e-07,1.16667e-06,0.000346
5e-07,0,5e-07,0.000349
5e-07,6.66667e-07,1.16667e-06,0.000352
5e-07,0,5e-07,0.000355
5e-07,6.66667e-07,1.16667e-06,0.000358
0,6.66667e-07,6.66667e-07,0.000361
0,1.33333e-06,1.33333e-06,0.000364
0,6.66667e-07,6.66667e-07,0.000367
1e-06,0,1e-06,0.00037
0,6.66667e-07,6.66667e-07,0.000373
5e-07,6.66667e-07,1.16667e-06,0.000376
0,6.66667e-07,6.66667e-07,0.000379
0,1.33333e-06,1.33333e-06,0.000382
0,6.66667e-07,6.66667e-07,0.000385
0,1.33333e-06,1.33333e-06,0.000388
0,6.66667e-07,6.66667e-07,0.000391
5e-07,6.66667e-07,1.16667e-06,0.000394
5e-07,0,5e-07,0.000397
5e-07,6.66667e-07,1.16667e-06,0.0004
0,6.66667e-07,6.66667e-07,0.000403
5e-07,6.66667e-07,1.16667e-06,0.000406
0,6.66667e-07,6.66667e-07,0.000409
0,1.33333e-06,1.33333e-06,0.000412
5e-07,0,5e-07,0.000415
5e-07,6.66667e-07,1.16667e-06,0.000418
0,6.66667e-07,6.66667e-07,0.000421
1e-06,0,1e-06,0.000424
0,6.66667e-07,6.66667e-07,0.000427
1e-06,0,1e-06,0.00043
5e-07,0,5e-07,0.000433
1e-06,0,1e-06,0.000436
5e-07,0,5e-07,0.000439
1e-06,0,1e-06,0.000442
5e-07,0,5e-07,0.000445
5e-07,6.66667e-07,1.16667e-06,0.000448
0,6.66667e-07,6.66667e-07,0.000451
5e-07,6.66667e-07,1.16667e-06,0.000454
5e-07,0,5e-07,0.000457
1e-06,0,1e-06,0.00046
0,6.66667e-07,6.66667e-07,0.000463
5e-07,6.66667e-07,1.16667e-06,0.000466
5e-07,0,5e-07,0.000469
5e-07,6.66667e-07,1.16667e-06,0.000472
0,6.66667e-07,6.66667e-07,0.000475
0,1.33333e-06,1.33333e-06,0.000478
5e-07,0,5e-07,0.000481
5e-07,6.66667e-07,1.16667e-06,0.000484
5e-07,0,5e-07,0.000487
5e-07,6.66667e-07,1.16667e-06,0.00049
5e-07,0,5e-07,0.000493
0,1.33333e-06,1.33333e-06,0.000496
