top.pd1.cpu0 readEvent,top.pd1.cpu0 writeEvent,time(us)
0,0,1
0,1,2
0,1,3
0,1,4
0,1,5
0,1,6
0,1,7
0,1,8
1,0,9
1,0,10
1,0,11
1,0,12
0,1,13
1,0,14
0,1,15
0,1,16
0,1,17
1,0,18
0,1,19
0,1,20
0,1,21
1,0,22
0,1,23
1,0,24
0,1,25
0,1,26
1,0,27
0,1,28
0,1,29
0,1,30
0,1,31
0,1,32
1,0,33
1,0,34
1,0,35
1,0,36
0,1,37
0,1,38
1,0,39
0,1,40
1,0,41
0,1,42
1,0,43
1,0,44
1,0,45
1,0,46
1,0,47
1,0,48
0,1,49
0,1,50
1,0,51
0,1,52
1,0,53
0,1,54
1,0,55
0,1,56
0,1,57
0,1,58
1,0,59
0,1,60
0,1,61
1,0,62
0,1,63
1,0,64
0,1,65
1,0,66
1,0,67
0,1,68
0,1,69
1,0,70
1,0,71
1,0,72
1,0,73
1,0,74
1,0,75
1,0,76
1,0,77
0,1,78
0,1,79
1,0,80
1,0,81
1,0,82
0,1,83
0,1,84
0,1,85
0,1,86
0,1,87
0,1,88
1,0,89
0,1,90
0,1,91
0,1,92
0,1,93
1,0,94
0,1,95
0,1,96
0,1,97
1,0,98
0,1,99
0,1,100
1,0,101
0,1,102
1,0,103
1,0,104
1,0,105
0,1,106
1,0,107
1,0,108
0,1,109
1,0,110
1,0,111
0,1,112
1,0,113
1,0,114
0,1,115
0,1,116
0,1,117
0,1,118
1,0,119
1,0,120
1,0,121
0,1,122
1,0,123
0,1,124
0,1,125
1,0,126
0,1,127
0,1,128
0,1,129
1,0,130
0,1,131
0,1,132
1,0,133
0,1,134
0,1,135
0,1,136
1,0,137
1,0,138
1,0,139
1,0,140
0,1,141
0,1,142
1,0,143
0,1,144
1,0,145
0,1,146
0,1,147
0,1,148
1,0,149
1,0,150
1,0,151
0,1,152
1,0,153
1,0,154
0,1,155
0,1,156
1,0,157
1,0,158
1,0,159
0,1,160
0,1,161
0,1,162
1,0,163
0,1,164
1,0,165
0,1,166
0,1,167
1,0,168
0,1,169
0,1,170
0,1,171
0,1,172
0,1,173
1,0,174
0,1,175
1,0,176
0,1,177
1,0,178
0,1,179
0,1,180
0,1,181
0,1,182
1,0,183
0,1,184
0,1,185
0,1,186
1,0,187
1,0,188
0,1,189
1,0,190
1,0,191
0,1,192
1,0,193
1,0,194
1,0,195
0,1,196
0,1,197
0,1,198
0,1,199
0,1,200
1,0,201
0,1,202
1,0,203
1,0,204
1,0,205
0,1,206
1,0,207
1,0,208
0,1,209
1,0,210
0,1,211
