top.pd2.cpu0,time(s)
1.6e-06,0,1e-06
1.6e-06,0,4e-06
1.6e-06,0,7e-06
1.6e-06,0,1e-05
1.6e-06,0,1.3e-05
1.6e-06,0,1.6e-05
1.6e-06,0,1.9e-05
1.6e-06,0,2.2e-05
1.6e-06,0,2.5e-05
1.6e-06,0,2.8e-05
1.6e-06,0,3.1e-05
1.6e-06,0,3.4e-05
1.6e-06,0,3.7e-05
1.6e-06,0,4e-05
1.6e-06,0,4.3e-05
1.6e-06,0,4.6e-05
1.6e-06,0,4.9e-05
1.6e-06,0,5.2e-05
1.6e-06,0,5.5e-05
1.6e-06,0,5.8e-05
1.6e-06,0,6.1e-05
1.6e-06,0,6.4e-05
1.6e-06,0,6.7e-05
1.06667e-06,0,7e-05
8e-07,0,7.3e-05
8e-07,0,7.6e-05
8e-07,0,7.9e-05
8e-07,0,8.2e-05
8e-07,0,8.5e-05
8e-07,0,8.8e-05
8e-07,0,9.1e-05
1.33333e-06,0,9.4e-05
1.33333e-06,0,9.7e-05
8e-07,0,0.0001
8e-07,0,0.000103
8e-07,0,0.000106
8e-07,0,0.000109
8e-07,0,0.000112
8e-07,0,0.000115
8e-07,0,0.000118
8e-07,0,0.000121
8e-07,0,0.000124
8e-07,0,0.000127
8e-07,0,0.00013
8e-07,0,0.000133
8e-07,0,0.000136
8e-07,0,0.000139
8e-07,0,0.000142
8e-07,0,0.000145
8e-07,0,0.000148
8e-07,0,0.000151
8e-07,0,0.000154
8e-07,0,0.000157
8e-07,0,0.00016
8e-07,0,0.000163
8e-07,0,0.000166
8e-07,0,0.000169
8e-07,0,0.000172
8e-07,0,0.000175
8e-07,0,0.000178
8e-07,0,0.000181
1.33333e-06,0,0.000184
1.6e-06,0,0.000187
1.6e-06,0,0.00019
1.6e-06,0,0.000193
1.6e-06,0,0.000196
1.6e-06,0,0.000199
1.6e-06,0,0.000202
1.6e-06,0,0.000205
1.6e-06,0,0.000208
8e-07,0,0.000211
8e-07,0,0.000214
8e-07,0,0.000217
8e-07,0,0.00022
8e-07,0,0.000223
8e-07,0,0.000226
8e-07,0,0.000229
8e-07,0,0.000232
1.06667e-06,0,0.000235
1.06667e-06,0,0.000238
8e-07,0,0.000241
8e-07,0,0.000244
8e-07,0,0.000247
8e-07,0,0.00025
8e-07,0,0.000253
8e-07,0,0.000256
1.6e-06,0,0.000259
1.6e-06,0,0.000262
1.6e-06,0,0.000265
1.6e-06,0,0.000268
1.6e-06,0,0.000271
1.6e-06,0,0.000274
1.6e-06,0,0.000277
1.6e-06,0,0.00028
1.6e-06,0,0.000283
1.6e-06,0,0.000286
1.6e-06,0,0.000289
1.6e-06,0,0.000292
1.6e-06,0,0.000295
1.06667e-06,0,0.000298
8e-07,0,0.000301
8e-07,0,0.000304
1.6e-06,0,0.000307
1.6e-06,0,0.00031
1.6e-06,0,0.000313
1.6e-06,0,0.000316
1.6e-06,0,0.000319
1.6e-06,0,0.000322
1.6e-06,0,0.000325
1.6e-06,0,0.000328
1.6e-06,0,0.000331
1.6e-06,0,0.000334
1.6e-06,0,0.000337
1.6e-06,0,0.00034
1.6e-06,0,0.000343
1.6e-06,0,0.000346
1.6e-06,0,0.000349
1.6e-06,0,0.000352
1.6e-06,0,0.000355
1.6e-06,0,0.000358
1.6e-06,0,0.000361
1.6e-06,0,0.000364
1.6e-06,0,0.000367
1.6e-06,0,0.00037
1.6e-06,0,0.000373
1.6e-06,0,0.000376
1.6e-06,0,0.000379
1.6e-06,0,0.000382
1.6e-06,0,0.000385
1.6e-06,0,0.000388
1.6e-06,0,0.000391
1.6e-06,0,0.000394
1.6e-06,0,0.000397
1.6e-06,0,0.0004
8e-07,0,0.000403
8e-07,0,0.000406
8e-07,0,0.000409
8e-07,0,0.000412
8e-07,0,0.000415
8e-07,0,0.000418
8e-07,0,0.000421
8e-07,0,0.000424
1.06667e-06,0,0.000427
1.6e-06,0,0.00043
1.6e-06,0,0.000433
1.6e-06,0,0.000436
1.6e-06,0,0.000439
1.6e-06,0,0.000442
1.6e-06,0,0.000445
1.6e-06,0,0.000448
8e-07,0,0.000451
8e-07,0,0.000454
8e-07,0,0.000457
8e-07,0,0.00046
8e-07,0,0.000463
8e-07,0,0.000466
8e-07,0,0.000469
8e-07,0,0.000472
8e-07,0,0.000475
8e-07,0,0.000478
8e-07,0,0.000481
8e-07,0,0.000484
8e-07,0,0.000487
8e-07,0,0.00049
8e-07,0,0.000493
8e-07,0,0.000496
