top.pd2.cpu1 loadEvent,top.pd2.cpu1 storeEvent,time(us)
0,0,1
0,0,2
1,0,3
0,0,4
0,1,5
0,0,6
1,0,7
0,0,8
1,0,9
0,0,10
1,0,11
0,0,12
1,0,13
0,0,14
0,1,15
0,0,16
0,1,17
0,0,18
0,1,19
0,0,20
0,1,21
0,0,22
0,1,23
0,0,24
0,1,25
0,0,26
0,1,27
0,0,28
1,0,29
0,0,30
1,0,31
0,0,32
1,0,33
0,0,34
0,1,35
0,0,36
1,0,37
0,0,38
1,0,39
0,0,40
0,1,41
0,0,42
1,0,43
0,0,44
1,0,45
0,0,46
1,0,47
0,0,48
0,1,49
0,0,50
1,0,51
0,0,52
0,1,53
0,0,54
0,1,55
0,0,56
0,1,57
0,0,58
1,0,59
0,0,60
1,0,61
0,0,62
0,1,63
0,0,64
0,1,65
0,0,66
1,0,67
0,0,68
0,1,69
0,0,70
0,1,71
0,0,72
0,1,73
0,0,74
0,1,75
0,0,76
1,0,77
0,0,78
1,0,79
0,0,80
0,1,81
0,0,82
0,1,83
0,0,84
0,1,85
0,0,86
0,1,87
0,0,88
1,0,89
0,0,90
0,1,91
0,0,92
0,1,93
0,0,94
1,0,95
0,0,96
0,1,97
0,0,98
1,0,99
0,0,100
0,1,101
0,0,102
1,0,103
0,0,104
0,1,105
0,0,106
1,0,107
0,0,108
0,1,109
0,0,110
0,1,111
0,0,112
1,0,113
0,0,114
1,0,115
0,0,116
1,0,117
0,0,118
0,1,119
0,0,120
1,0,121
0,0,122
0,1,123
0,0,124
0,1,125
0,0,126
0,1,127
0,0,128
0,1,129
0,0,130
0,1,131
0,0,132
0,1,133
0,0,134
0,1,135
0,0,136
1,0,137
0,0,138
0,1,139
0,0,140
0,1,141
0,0,142
1,0,143
0,0,144
0,1,145
0,0,146
0,1,147
0,0,148
1,0,149
0,0,150
0,1,151
0,0,152
1,0,153
0,0,154
0,1,155
0,0,156
0,1,157
0,0,158
0,1,159
0,0,160
1,0,161
0,0,162
0,1,163
0,0,164
1,0,165
0,0,166
0,1,167
0,0,168
1,0,169
0,0,170
0,1,171
0,0,172
1,0,173
0,0,174
0,1,175
0,0,176
0,1,177
0,0,178
0,1,179
0,0,180
1,0,181
0,0,182
1,0,183
0,0,184
1,0,185
0,0,186
0,1,187
0,0,188
1,0,189
0,0,190
1,0,191
0,0,192
0,1,193
0,0,194
1,0,195
0,0,196
1,0,197
0,0,198
1,0,199
0,0,200
1,0,201
0,0,202
0,1,203
0,0,204
1,0,205
0,0,206
0,1,207
0,0,208
1,0,209
0,0,210
1,0,211
0,0,212
1,0,213
0,0,214
1,0,215
0,0,216
1,0,217
0,0,218
0,1,219
0,0,220
0,1,221
0,0,222
0,1,223
0,0,224
1,0,225
0,0,226
1,0,227
0,0,228
1,0,229
0,0,230
1,0,231
0,0,232
0,1,233
0,0,234
0,1,235
0,0,236
1,0,237
0,0,238
0,1,239
0,0,240
1,0,241
0,0,242
1,0,243
0,0,244
1,0,245
0,0,246
1,0,247
0,0,248
1,0,249
0,0,250
1,0,251
0,0,252
0,1,253
0,0,254
1,0,255
0,0,256
1,0,257
