m_btransportReadEventId,m_btransportWriteEventId,time(s)
2.66667e-06,0,2.66667e-06,1e-06
0,3e-06,3e-06,4e-06
2.66667e-06,0,2.66667e-06,7e-06
0,3e-06,3e-06,1e-05
2.66667e-06,0,2.66667e-06,1.3e-05
2.66667e-06,0,2.66667e-06,1.6e-05
2.66667e-06,3e-06,5.66667e-06,1.9e-05
0,3e-06,3e-06,2.2e-05
0,3e-06,3e-06,2.5e-05
0,3e-06,3e-06,2.8e-05
2.66667e-06,0,2.66667e-06,3.1e-05
0,3e-06,3e-06,3.4e-05
2.66667e-06,3e-06,5.66667e-06,3.7e-05
0,3e-06,3e-06,4e-05
2.66667e-06,3e-06,5.66667e-06,4.3e-05
0,0,0,4.6e-05
2.66667e-06,0,2.66667e-06,4.9e-05
2.66667e-06,0,2.66667e-06,5.2e-05
0,6e-06,6e-06,5.5e-05
2.66667e-06,0,2.66667e-06,5.8e-05
2.66667e-06,3e-06,5.66667e-06,6.1e-05
0,0,0,6.4e-05
2.66667e-06,0,2.66667e-06,6.7e-05
2.66667e-06,0,2.66667e-06,7e-05
5.33333e-06,0,5.33333e-06,7.3e-05
2.66667e-06,0,2.66667e-06,7.6e-05
2.66667e-06,3e-06,5.66667e-06,7.9e-05
0,0,0,8.2e-05
2.66667e-06,0,2.66667e-06,8.5e-05
2.66667e-06,0,2.66667e-06,8.8e-05
0,6e-06,6e-06,9.1e-05
0,3e-06,3e-06,9.4e-05
2.66667e-06,3e-06,5.66667e-06,9.7e-05
0,0,0,0.0001
0,3e-06,3e-06,0.000103
2.66667e-06,0,2.66667e-06,0.000106
2.66667e-06,3e-06,5.66667e-06,0.000109
0,3e-06,3e-06,0.000112
2.66667e-06,3e-06,5.66667e-06,0.000115
0,0,0,0.000118
0,3e-06,3e-06,0.000121
2.66667e-06,0,2.66667e-06,0.000124
2.66667e-06,3e-06,5.66667e-06,0.000127
2.66667e-06,0,2.66667e-06,0.00013
0,6e-06,6e-06,0.000133
0,0,0,0.000136
0,3e-06,3e-06,0.000139
0,3e-06,3e-06,0.000142
2.66667e-06,3e-06,5.66667e-06,0.000145
2.66667e-06,0,2.66667e-06,0.000148
2.66667e-06,3e-06,5.66667e-06,0.000151
0,0,0,0.000154
0,3e-06,3e-06,0.000157
0,3e-06,3e-06,0.00016
5.33333e-06,0,5.33333e-06,0.000163
0,3e-06,3e-06,0.000166
2.66667e-06,3e-06,5.66667e-06,0.000169
2.66667e-06,0,2.66667e-06,0.000172
0,0,0,0.000175
0,0,0,0.000178
0,0,0,0.000181
0,0,0,0.000184
2.66667e-06,0,2.66667e-06,0.000187
0,3e-06,3e-06,0.00019
0,0,0,0.000193
0,0,0,0.000196
0,0,0,0.000199
0,0,0,0.000202
2.66667e-06,0,2.66667e-06,0.000205
0,3e-06,3e-06,0.000208
0,0,0,0.000211
0,0,0,0.000214
0,0,0,0.000217
0,0,0,0.00022
2.66667e-06,0,2.66667e-06,0.000223
2.66667e-06,0,2.66667e-06,0.000226
0,0,0,0.000229
0,0,0,0.000232
0,0,0,0.000235
0,0,0,0.000238
0,3e-06,3e-06,0.000241
0,3e-06,3e-06,0.000244
0,0,0,0.000247
0,0,0,0.00025
0,0,0,0.000253
0,0,0,0.000256
0,0,0,0.000259
0,0,0,0.000262
0,0,0,0.000265
0,0,0,0.000268
0,0,0,0.000271
2.66667e-06,0,2.66667e-06,0.000274
2.66667e-06,0,2.66667e-06,0.000277
0,0,0,0.00028
0,0,0,0.000283
0,0,0,0.000286
0,0,0,0.000289
2.66667e-06,0,2.66667e-06,0.000292
0,3e-06,3e-06,0.000295
0,0,0,0.000298
0,0,0,0.000301
0,0,0,0.000304
0,0,0,0.000307
0,3e-06,3e-06,0.00031
2.66667e-06,0,2.66667e-06,0.000313
0,0,0,0.000316
0,0,0,0.000319
0,0,0,0.000322
0,0,0,0.000325
0,0,0,0.000328
0,0,0,0.000331
0,0,0,0.000334
0,0,0,0.000337
0,0,0,0.00034
2.66667e-06,3e-06,5.66667e-06,0.000343
0,0,0,0.000346
0,0,0,0.000349
0,0,0,0.000352
0,0,0,0.000355
0,0,0,0.000358
0,6e-06,6e-06,0.000361
2.66667e-06,0,2.66667e-06,0.000364
2.66667e-06,3e-06,5.66667e-06,0.000367
0,3e-06,3e-06,0.00037
2.66667e-06,0,2.66667e-06,0.000373
0,3e-06,3e-06,0.000376
2.66667e-06,3e-06,5.66667e-06,0.000379
0,0,0,0.000382
0,3e-06,3e-06,0.000385
0,0,0,0.000388
2.66667e-06,3e-06,5.66667e-06,0.000391
0,3e-06,3e-06,0.000394
2.66667e-06,3e-06,5.66667e-06,0.000397
2.66667e-06,0,2.66667e-06,0.0004
2.66667e-06,0,2.66667e-06,0.000403
0,0,0,0.000406
2.66667e-06,3e-06,5.66667e-06,0.000409
0,3e-06,3e-06,0.000412
0,6e-06,6e-06,0.000415
0,3e-06,3e-06,0.000418
2.66667e-06,0,2.66667e-06,0.000421
0,0,0,0.000424
2.66667e-06,3e-06,5.66667e-06,0.000427
0,3e-06,3e-06,0.00043
0,6e-06,6e-06,0.000433
0,3e-06,3e-06,0.000436
0,3e-06,3e-06,0.000439
0,0,0,0.000442
0,6e-06,6e-06,0.000445
2.66667e-06,0,2.66667e-06,0.000448
2.66667e-06,3e-06,5.66667e-06,0.000451
2.66667e-06,0,2.66667e-06,0.000454
0,3e-06,3e-06,0.000457
0,0,0,0.00046
0,6e-06,6e-06,0.000463
2.66667e-06,0,2.66667e-06,0.000466
0,6e-06,6e-06,0.000469
0,3e-06,3e-06,0.000472
2.66667e-06,0,2.66667e-06,0.000475
0,0,0,0.000478
2.66667e-06,3e-06,5.66667e-06,0.000481
0,3e-06,3e-06,0.000484
5.33333e-06,0,5.33333e-06,0.000487
0,3e-06,3e-06,0.00049
2.66667e-06,0,2.66667e-06,0.000493
0,0,0,0.000496
