top.pd2.mem1,time(s)
9.6e-05,0,1e-06
9.6e-05,0,4e-06
9.6e-05,0,7e-06
9.6e-05,0,1e-05
8e-05,0,1.3e-05
4.8e-05,0,1.6e-05
4.8e-05,0,1.9e-05
4.8e-05,0,2.2e-05
4.8e-05,0,2.5e-05
4.8e-05,0,2.8e-05
4.8e-05,0,3.1e-05
4.8e-05,0,3.4e-05
4.8e-05,0,3.7e-05
4.8e-05,0,4e-05
4.8e-05,0,4.3e-05
4.8e-05,0,4.6e-05
4.8e-05,0,4.9e-05
4.8e-05,0,5.2e-05
4.8e-05,0,5.5e-05
4.8e-05,0,5.8e-05
4.8e-05,0,6.1e-05
4.8e-05,0,6.4e-05
4.8e-05,0,6.7e-05
4.8e-05,0,7e-05
4.8e-05,0,7.3e-05
4.8e-05,0,7.6e-05
6.4e-05,0,7.9e-05
9.6e-05,0,8.2e-05
9.6e-05,0,8.5e-05
9.6e-05,0,8.8e-05
9.6e-05,0,9.1e-05
9.6e-05,0,9.4e-05
9.6e-05,0,9.7e-05
9.6e-05,0,0.0001
9.6e-05,0,0.000103
9.6e-05,0,0.000106
9.6e-05,0,0.000109
9.6e-05,0,0.000112
9.6e-05,0,0.000115
9.6e-05,0,0.000118
9.6e-05,0,0.000121
6.4e-05,0,0.000124
4.8e-05,0,0.000127
4.8e-05,0,0.00013
4.8e-05,0,0.000133
4.8e-05,0,0.000136
4.8e-05,0,0.000139
4.8e-05,0,0.000142
4.8e-05,0,0.000145
4.8e-05,0,0.000148
4.8e-05,0,0.000151
4.8e-05,0,0.000154
4.8e-05,0,0.000157
4.8e-05,0,0.00016
9.6e-05,0,0.000163
6.4e-05,0,0.000166
4.8e-05,0,0.000169
4.8e-05,0,0.000172
4.8e-05,0,0.000175
4.8e-05,0,0.000178
4.8e-05,0,0.000181
4.8e-05,0,0.000184
4.8e-05,0,0.000187
4.8e-05,0,0.00019
4.8e-05,0,0.000193
4.8e-05,0,0.000196
4.8e-05,0,0.000199
4.8e-05,0,0.000202
4.8e-05,0,0.000205
4.8e-05,0,0.000208
4.8e-05,0,0.000211
4.8e-05,0,0.000214
4.8e-05,0,0.000217
4.8e-05,0,0.00022
4.8e-05,0,0.000223
4.8e-05,0,0.000226
4.8e-05,0,0.000229
4.8e-05,0,0.000232
4.8e-05,0,0.000235
4.8e-05,0,0.000238
4.8e-05,0,0.000241
4.8e-05,0,0.000244
4.8e-05,0,0.000247
4.8e-05,0,0.00025
4.8e-05,0,0.000253
4.8e-05,0,0.000256
4.8e-05,0,0.000259
4.8e-05,0,0.000262
9.6e-05,0,0.000265
9.6e-05,0,0.000268
9.6e-05,0,0.000271
9.6e-05,0,0.000274
9.6e-05,0,0.000277
9.6e-05,0,0.00028
9.6e-05,0,0.000283
9.6e-05,0,0.000286
4.8e-05,0,0.000289
4.8e-05,0,0.000292
9.6e-05,0,0.000295
9.6e-05,0,0.000298
9.6e-05,0,0.000301
9.6e-05,0,0.000304
9.6e-05,0,0.000307
9.6e-05,0,0.00031
9.6e-05,0,0.000313
9.6e-05,0,0.000316
9.6e-05,0,0.000319
9.6e-05,0,0.000322
9.6e-05,0,0.000325
9.6e-05,0,0.000328
9.6e-05,0,0.000331
9.6e-05,0,0.000334
9.6e-05,0,0.000337
9.6e-05,0,0.00034
9.6e-05,0,0.000343
9.6e-05,0,0.000346
9.6e-05,0,0.000349
9.6e-05,0,0.000352
9.6e-05,0,0.000355
9.6e-05,0,0.000358
9.6e-05,0,0.000361
9.6e-05,0,0.000364
4.8e-05,0,0.000367
4.8e-05,0,0.00037
4.8e-05,0,0.000373
4.8e-05,0,0.000376
4.8e-05,0,0.000379
4.8e-05,0,0.000382
4.8e-05,0,0.000385
4.8e-05,0,0.000388
4.8e-05,0,0.000391
4.8e-05,0,0.000394
4.8e-05,0,0.000397
4.8e-05,0,0.0004
4.8e-05,0,0.000403
4.8e-05,0,0.000406
4.8e-05,0,0.000409
8e-05,0,0.000412
9.6e-05,0,0.000415
9.6e-05,0,0.000418
9.6e-05,0,0.000421
9.6e-05,0,0.000424
9.6e-05,0,0.000427
9.6e-05,0,0.00043
9.6e-05,0,0.000433
9.6e-05,0,0.000436
9.6e-05,0,0.000439
9.6e-05,0,0.000442
9.6e-05,0,0.000445
9.6e-05,0,0.000448
4.8e-05,0,0.000451
4.8e-05,0,0.000454
4.8e-05,0,0.000457
4.8e-05,0,0.00046
6.4e-05,0,0.000463
9.6e-05,0,0.000466
9.6e-05,0,0.000469
9.6e-05,0,0.000472
9.6e-05,0,0.000475
9.6e-05,0,0.000478
9.6e-05,0,0.000481
9.6e-05,0,0.000484
9.6e-05,0,0.000487
9.6e-05,0,0.00049
9.6e-05,0,0.000493
9.6e-05,0,0.000496
